ticker,current_price,strategy,percent_from_strike,short_strike,long_strike,short_strike_price,long_strike_credit,max_loss,max_profit,width,percent_profit_of_width,avg_oi,expiration
NFLX,1217.94,Bull Put,0.24,1215.0,1210.0,22.75,21.6,385.0,115.0,5.0,23.0,125.0,2025-06-20
NFLX,1217.94,Bull Put,0.65,1210.0,1205.0,20.55,19.5,395.0,105.0,5.0,21.0,111.0,2025-06-20
NFLX,1217.94,Bull Put,1.06,1205.0,1200.0,18.45,17.5,405.0,95.0,5.0,19.0,341.5,2025-06-20
NFLX,1217.94,Bull Put,1.47,1200.0,1195.0,16.6,15.7,410.0,90.0,5.0,18.0,372.5,2025-06-20
NFLX,1217.94,Bull Put,1.88,1195.0,1190.0,14.9,14.35,445.0,55.0,5.0,11.0,163.0,2025-06-20
NFLX,1217.94,Bull Put,0.65,1210.0,1205.0,29.25,28.45,420.0,80.0,5.0,16.0,29.0,2025-07-03
NFLX,1217.94,Bull Put,1.06,1205.0,1200.0,27.0,26.45,445.0,55.0,5.0,11.0,46.5,2025-07-03
NFLX,1217.94,Bull Put,1.47,1200.0,1195.0,25.15,24.9,475.0,25.0,5.0,5.0,40.0,2025-07-03
NFLX,1217.94,Bull Put,3.53,1175.0,1170.0,16.85,16.65,480.0,20.0,5.0,4.0,46.5,2025-07-03
NFLX,1217.94,Bull Put,0.24,1215.0,1210.0,57.6,56.35,375.0,125.0,5.0,25.0,59.5,2025-07-18
NFLX,1217.94,Bull Put,0.65,1210.0,1205.0,55.15,54.3,415.0,85.0,5.0,17.0,80.5,2025-07-18
NFLX,1217.94,Bull Put,1.47,1200.0,1195.0,50.75,50.15,440.0,60.0,5.0,12.0,124.5,2025-07-18
NFLX,1217.94,Bull Put,1.88,1195.0,1190.0,48.65,48.0,435.0,65.0,5.0,13.0,289.0,2025-07-18
NFLX,1217.94,Bull Put,2.7,1185.0,1180.0,44.5,43.85,435.0,65.0,5.0,13.0,79.0,2025-07-18
CSCO,64.36,Bull Put,0.56,64.0,63.0,0.68,0.42,74.0,26.0,1.0,26.0,2132.5,2025-06-20
CSCO,64.36,Bull Put,2.11,63.0,62.5,0.4,0.33,43.0,7.0,0.5,14.0,5151.0,2025-06-20
CSCO,64.36,Bull Put,2.89,62.5,62.0,0.3,0.26,46.0,4.0,0.5,8.0,5020.5,2025-06-20
CSCO,64.36,Bull Put,3.67,62.0,61.0,0.23,0.17,94.0,6.0,1.0,6.0,4462.0,2025-06-20
CSCO,64.36,Bull Put,5.22,61.0,60.0,0.14,0.13,99.0,1.0,1.0,1.0,15151.0,2025-06-20
CSCO,64.36,Bull Put,0.56,64.0,63.0,1.08,0.91,83.0,17.0,1.0,17.0,29.0,2025-07-03
CSCO,64.36,Bull Put,2.11,63.0,62.0,0.71,0.7,99.0,1.0,1.0,1.0,91.5,2025-07-03
CSCO,64.36,Bull Put,5.22,61.0,60.0,0.34,0.33,99.0,1.0,1.0,1.0,28.5,2025-07-03
CSCO,64.36,Bull Put,2.89,62.5,60.0,0.95,0.49,204.0,46.0,2.5,18.4,7946.5,2025-07-18
CSCO,64.36,Bull Put,6.77,60.0,57.5,0.46,0.26,230.0,20.0,2.5,8.0,8437.0,2025-07-18
CSCO,64.36,Bull Put,10.66,57.5,55.0,0.24,0.17,243.0,7.0,2.5,2.8,7925.5,2025-07-18
T,27.96,Bull Put,1.65,27.5,27.0,0.29,0.2,41.0,9.0,0.5,18.0,6147.0,2025-06-20
T,27.96,Bull Put,3.43,27.0,26.5,0.18,0.13,45.0,5.0,0.5,10.0,5934.5,2025-06-20
T,27.96,Bull Put,5.22,26.5,26.0,0.11,0.09,48.0,2.0,0.5,4.0,6092.0,2025-06-20
T,27.96,Bull Put,7.01,26.0,25.5,0.08,0.07,49.0,1.0,0.5,2.0,5935.5,2025-06-20
T,27.96,Bull Put,3.43,27.0,26.0,0.31,0.18,87.0,13.0,1.0,13.0,496.5,2025-07-03
T,27.96,Bull Put,7.01,26.0,25.0,0.15,0.11,96.0,4.0,1.0,4.0,91.0,2025-07-03
T,27.96,Bull Put,3.43,27.0,26.0,0.53,0.32,79.0,21.0,1.0,21.0,11180.0,2025-07-18
T,27.96,Bull Put,7.01,26.0,25.0,0.3,0.2,90.0,10.0,1.0,10.0,11931.0,2025-07-18
T,27.96,Bull Put,10.59,25.0,24.0,0.18,0.13,95.0,5.0,1.0,5.0,8772.5,2025-07-18
WMT,99.98,Bull Put,0.98,99.0,98.0,1.24,1.0,76.0,24.0,1.0,24.0,504.5,2025-06-20
WMT,99.98,Bull Put,1.98,98.0,97.5,0.93,0.9,47.0,3.0,0.5,6.0,3287.5,2025-06-20
WMT,99.98,Bull Put,2.48,97.5,97.0,0.81,0.75,44.0,6.0,0.5,12.0,3095.5,2025-06-20
WMT,99.98,Bull Put,2.98,97.0,96.0,0.7,0.58,88.0,12.0,1.0,12.0,655.0,2025-06-20
WMT,99.98,Bull Put,3.98,96.0,95.0,0.53,0.45,92.0,8.0,1.0,8.0,3599.0,2025-06-20
WMT,99.98,Bull Put,0.98,99.0,98.0,1.77,1.57,80.0,20.0,1.0,20.0,18.0,2025-07-03
WMT,99.98,Bull Put,1.98,98.0,97.0,1.44,1.28,84.0,16.0,1.0,16.0,16.5,2025-07-03
WMT,99.98,Bull Put,2.48,97.5,95.0,1.83,1.24,191.0,59.0,2.5,23.6,3644.0,2025-07-18
WMT,99.98,Bull Put,4.98,95.0,92.5,1.2,0.81,211.0,39.0,2.5,15.6,3873.5,2025-07-18
WMT,99.98,Bull Put,7.48,92.5,90.0,0.79,0.56,227.0,23.0,2.5,9.2,7006.5,2025-07-18
WMT,99.98,Bull Put,9.98,90.0,87.5,0.53,0.4,237.0,13.0,2.5,5.2,7755.0,2025-07-18
WMT,99.98,Bull Put,12.48,87.5,85.0,0.39,0.3,241.0,9.0,2.5,3.6,6633.5,2025-07-18
BA,213.43,Bull Put,0.44,212.5,210.0,4.3,3.45,165.0,85.0,2.5,34.0,757.5,2025-06-20
BA,213.43,Bull Put,1.61,210.0,207.5,3.3,2.68,188.0,62.0,2.5,24.8,827.0,2025-06-20
BA,213.43,Bull Put,2.78,207.5,205.0,2.51,2.06,205.0,45.0,2.5,18.0,821.5,2025-06-20
BA,213.43,Bull Put,3.95,205.0,202.5,1.94,1.63,219.0,31.0,2.5,12.4,841.5,2025-06-20
BA,213.43,Bull Put,5.12,202.5,200.0,1.42,1.2,228.0,22.0,2.5,8.8,1777.5,2025-06-20
BA,213.43,Bull Put,3.95,205.0,200.0,3.0,2.28,428.0,72.0,5.0,14.4,132.0,2025-07-03
BA,213.43,Bull Put,6.29,200.0,195.0,2.0,1.6,460.0,40.0,5.0,8.0,59.5,2025-07-03
BA,213.43,Bull Put,8.64,195.0,190.0,1.39,1.11,472.0,28.0,5.0,5.6,62.5,2025-07-03
BA,213.43,Bull Put,10.98,190.0,185.0,0.93,0.9,497.0,3.0,5.0,0.6,66.5,2025-07-03
BA,213.43,Bull Put,13.32,185.0,180.0,0.65,0.54,489.0,11.0,5.0,2.2,203.0,2025-07-03
BA,213.43,Bull Put,1.61,210.0,205.0,6.35,4.8,345.0,155.0,5.0,31.0,1014.0,2025-07-18
BA,213.43,Bull Put,3.95,205.0,200.0,4.65,3.45,380.0,120.0,5.0,24.0,818.5,2025-07-18
BA,213.43,Bull Put,6.29,200.0,195.0,3.35,2.48,413.0,87.0,5.0,17.4,826.5,2025-07-18
BA,213.43,Bull Put,8.64,195.0,190.0,2.4,1.77,437.0,63.0,5.0,12.6,1258.0,2025-07-18
BA,213.43,Bull Put,10.98,190.0,185.0,1.72,1.32,460.0,40.0,5.0,8.0,1760.5,2025-07-18
GE,248.87,Bull Put,0.55,247.5,245.0,6.5,5.65,165.0,85.0,2.5,34.0,297.5,2025-06-20
GE,248.87,Bull Put,1.56,245.0,242.5,5.45,4.7,175.0,75.0,2.5,30.0,572.0,2025-06-20
GE,248.87,Bull Put,2.56,242.5,240.0,4.55,3.9,185.0,65.0,2.5,26.0,1207.0,2025-06-20
GE,248.87,Bull Put,3.56,240.0,237.5,3.75,3.2,195.0,55.0,2.5,22.0,1798.5,2025-06-20
GE,248.87,Bull Put,4.57,237.5,235.0,3.05,2.62,207.0,43.0,2.5,17.2,2123.5,2025-06-20
GE,248.87,Bull Put,1.56,245.0,240.0,6.9,5.4,350.0,150.0,5.0,30.0,69.5,2025-07-03
GE,248.87,Bull Put,3.56,240.0,235.0,5.15,4.0,385.0,115.0,5.0,23.0,100.5,2025-07-03
GE,248.87,Bull Put,5.57,235.0,230.0,3.75,2.94,419.0,81.0,5.0,16.2,83.0,2025-07-03
GE,248.87,Bull Put,7.58,230.0,225.0,2.72,2.15,443.0,57.0,5.0,11.4,57.0,2025-07-03
GE,248.87,Bull Put,9.59,225.0,220.0,1.9,1.68,478.0,22.0,5.0,4.4,39.0,2025-07-03
GE,248.87,Bull Put,3.56,240.0,230.0,6.85,4.25,740.0,260.0,10.0,26.0,5551.0,2025-07-18
GE,248.87,Bull Put,7.58,230.0,220.0,4.15,2.46,831.0,169.0,10.0,16.9,2558.5,2025-07-18
GE,248.87,Bull Put,11.6,220.0,210.0,2.4,1.42,902.0,98.0,10.0,9.8,2311.0,2025-07-18
GE,248.87,Bull Put,15.62,210.0,200.0,1.32,0.83,951.0,49.0,10.0,4.9,710.5,2025-07-18
INTU,764.66,Bull Put,0.61,760.0,755.0,10.7,10.1,440.0,60.0,5.0,12.0,129.0,2025-06-20
INTU,764.66,Bull Put,3.22,740.0,735.0,5.5,5.0,450.0,50.0,5.0,10.0,80.0,2025-06-20
INTU,764.66,Bull Put,56.84,330.0,320.0,0.3,0.2,990.0,10.0,10.0,1.0,8.0,2025-06-20
INTU,764.66,Bull Put,5.84,720.0,700.0,4.4,3.9,1950.0,50.0,20.0,2.5,19.0,2025-07-03
INTU,764.66,Bull Put,0.61,760.0,750.0,20.3,19.1,880.0,120.0,10.0,12.0,91.5,2025-07-18
INTU,764.66,Bull Put,1.92,750.0,740.0,16.4,15.9,950.0,50.0,10.0,5.0,75.0,2025-07-18
INTU,764.66,Bull Put,3.22,740.0,730.0,13.2,12.9,970.0,30.0,10.0,3.0,131.0,2025-07-18
INTU,764.66,Bull Put,4.53,730.0,720.0,10.6,10.2,960.0,40.0,10.0,4.0,396.0,2025-07-18
INTU,764.66,Bull Put,7.15,710.0,700.0,6.8,6.4,960.0,40.0,10.0,4.0,297.0,2025-07-18
GILD,109.33,Bull Put,3.96,105.0,100.0,3.8,2.57,377.0,123.0,5.0,24.6,2854.5,2025-07-18
GILD,109.33,Bull Put,8.53,100.0,95.0,2.2,1.57,437.0,63.0,5.0,12.6,3276.0,2025-07-18
GILD,109.33,Bull Put,13.11,95.0,90.0,1.31,0.99,468.0,32.0,5.0,6.4,1664.0,2025-07-18
CRM,264.47,Bear Call,0.2,265.0,267.5,5.3,5.05,225.0,25.0,2.5,10.0,796.5,2025-06-20
CRM,264.47,Bear Call,1.15,267.5,270.0,4.2,3.9,220.0,30.0,2.5,12.0,6546.5,2025-06-20
CRM,264.47,Bear Call,2.09,270.0,272.5,3.6,3.05,195.0,55.0,2.5,22.0,6211.0,2025-06-20
CRM,264.47,Bear Call,3.04,272.5,275.0,2.81,2.25,194.0,56.0,2.5,22.4,1253.5,2025-06-20
CRM,264.47,Bear Call,3.98,275.0,277.5,2.04,1.7,216.0,34.0,2.5,13.6,1599.0,2025-06-20
CRM,264.47,Bear Call,0.2,265.0,270.0,7.2,7.0,480.0,20.0,5.0,4.0,131.5,2025-07-03
CRM,264.47,Bear Call,2.09,270.0,275.0,5.55,3.9,335.0,165.0,5.0,33.0,158.5,2025-07-03
CRM,264.47,Bear Call,3.98,275.0,280.0,3.5,2.86,436.0,64.0,5.0,12.8,296.5,2025-07-03
CRM,264.47,Bear Call,5.87,280.0,285.0,2.46,1.89,443.0,57.0,5.0,11.4,313.5,2025-07-03
CRM,264.47,Bear Call,9.65,290.0,295.0,1.06,0.85,479.0,21.0,5.0,4.2,67.0,2025-07-03
CRM,264.47,Bear Call,2.09,270.0,280.0,7.65,4.4,675.0,325.0,10.0,32.5,2541.5,2025-07-18
CRM,264.47,Bear Call,5.87,280.0,290.0,4.2,2.25,805.0,195.0,10.0,19.5,2025.5,2025-07-18
CRM,264.47,Bear Call,9.65,290.0,300.0,2.19,1.25,906.0,94.0,10.0,9.4,2262.0,2025-07-18
CRM,264.47,Bear Call,13.43,300.0,310.0,1.13,0.73,960.0,40.0,10.0,4.0,1878.0,2025-07-18
CRM,264.47,Bear Call,21.0,320.0,330.0,0.41,0.35,994.0,6.0,10.0,0.6,4666.0,2025-07-18
REGN,487.86,Bear Call,76.28,860.0,870.0,22.5,0.3,-1220.0,2220.0,10.0,222.0,32.5,2025-06-20
REGN,487.86,Bear Call,129.57,1120.0,1140.0,6.4,4.6,1820.0,180.0,20.0,9.0,51.0,2025-06-20
REGN,487.86,Bear Call,182.87,1380.0,1400.0,6.7,1.75,1505.0,495.0,20.0,24.75,9.5,2025-06-20
REGN,487.86,Bear Call,203.37,1480.0,1500.0,19.1,4.8,570.0,1430.0,20.0,71.5,6.0,2025-06-20
REGN,487.86,Bear Call,223.86,1580.0,1600.0,9.2,4.8,1560.0,440.0,20.0,22.0,1.0,2025-06-20
REGN,487.86,Bear Call,5.56,515.0,520.0,16.1,16.0,490.0,10.0,5.0,2.0,51.5,2025-07-18
REGN,487.86,Bear Call,6.59,520.0,525.0,14.5,14.3,480.0,20.0,5.0,4.0,59.0,2025-07-18
TMO,399.93,Bear Call,0.02,400.0,402.5,10.8,10.5,220.0,30.0,2.5,12.0,43.0,2025-06-20
TMO,399.93,Bear Call,1.27,405.0,407.5,8.3,8.2,240.0,10.0,2.5,4.0,52.5,2025-06-20
TMO,399.93,Bear Call,1.89,407.5,410.0,7.3,7.0,220.0,30.0,2.5,12.0,83.0,2025-06-20
TMO,399.93,Bear Call,2.52,410.0,412.5,6.3,6.1,230.0,20.0,2.5,8.0,79.0,2025-06-20
TMO,399.93,Bear Call,1.27,405.0,420.0,11.3,7.8,1150.0,350.0,15.0,23.33,3.0,2025-07-03
TMO,399.93,Bear Call,0.02,400.0,410.0,18.9,15.0,610.0,390.0,10.0,39.0,78.0,2025-07-18
TMO,399.93,Bear Call,2.52,410.0,420.0,12.5,11.0,850.0,150.0,10.0,15.0,110.0,2025-07-18
TMO,399.93,Bear Call,5.02,420.0,430.0,10.0,7.5,750.0,250.0,10.0,25.0,104.0,2025-07-18
TMO,399.93,Bear Call,7.52,430.0,440.0,6.7,5.3,860.0,140.0,10.0,14.0,59.0,2025-07-18
TMO,399.93,Bear Call,12.52,450.0,460.0,2.75,2.35,960.0,40.0,10.0,4.0,71.0,2025-07-18
